INFO 2022-01-27 11:59:06,716 basehttp 10228 6076 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2022-01-27 11:59:06,723 basehttp 10228 10568 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO 2022-01-27 11:59:06,724 basehttp 10228 8340 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19634
INFO 2022-01-27 11:59:06,732 basehttp 10228 9368 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2022-01-27 11:59:06,732 basehttp 10228 6076 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 5984
INFO 2022-01-27 11:59:06,733 basehttp 10228 10648 "GET /static/admin/js/core.js HTTP/1.1" 200 5698
INFO 2022-01-27 11:59:06,733 basehttp 10228 5728 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2022-01-27 11:59:06,737 basehttp 10228 10568 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11097
INFO 2022-01-27 11:59:06,757 basehttp 10228 8340 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO 2022-01-27 11:59:06,758 basehttp 10228 9368 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2022-01-27 11:59:06,787 basehttp 10228 5728 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2022-01-27 11:59:06,795 basehttp 10228 8340 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 492
INFO 2022-01-27 11:59:06,863 basehttp 10228 10648 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2022-01-27 11:59:06,863 basehttp 10228 9368 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2022-01-27 11:59:06,864 basehttp 10228 5728 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3401
INFO 2022-01-27 11:59:06,864 basehttp 10228 6076 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2022-01-27 11:59:06,867 basehttp 10228 10568 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2022-01-27 11:59:06,868 basehttp 10228 8340 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2022-01-27 11:59:06,869 basehttp 10228 9368 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2022-01-27 11:59:06,937 basehttp 10228 9368 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
WARNING 2022-01-27 11:59:06,956 log 10228 9368 Not Found: /favicon.ico
WARNING 2022-01-27 11:59:06,957 basehttp 10228 9368 "GET /favicon.ico HTTP/1.1" 404 4527
INFO 2022-01-27 11:59:08,156 basehttp 10228 9368 "GET /admin/scholar/proposal/4/change/ HTTP/1.1" 200 14543
INFO 2022-01-27 11:59:08,190 basehttp 10228 8340 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2616
INFO 2022-01-27 11:59:08,193 basehttp 10228 9368 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2022-01-27 11:59:08,194 basehttp 10228 10648 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2022-01-27 11:59:08,197 basehttp 10228 6076 "GET /static/admin/css/forms.css HTTP/1.1" 200 8835
INFO 2022-01-27 11:59:08,201 basehttp 10228 10568 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2022-01-27 11:59:08,203 basehttp 10228 8340 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18545
INFO 2022-01-27 11:59:08,204 basehttp 10228 9368 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2022-01-27 11:59:08,205 basehttp 10228 6076 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19634
INFO 2022-01-27 11:59:08,208 basehttp 10228 10648 "GET /static/admin/js/core.js HTTP/1.1" 200 5698
INFO 2022-01-27 11:59:08,215 basehttp 10228 5728 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO 2022-01-27 11:59:08,222 basehttp 10228 10568 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2022-01-27 11:59:08,222 basehttp 10228 10648 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
